node_idx,Airport_ID,Src_cap,Des_cap,Name,City,Country,IATA,Latitude,Longitude
909,3039.0,544.0,544.0,Lengpui Airport,Aizwal,India,AJL,23.8405990601,92.6196975708
910,3081.0,1401.6666666666665,1401.6666666666665,Sri Guru Ram Dass Jee International Airport,Amritsar,India,ATQ,31.7096004486,74.7973022461
911,2179.0,53309.00000000001,52108.66666666667,Abu Dhabi International Airport,Abu Dhabi,United Arab Emirates,AUH,24.433000564575195,54.651100158691406
912,2057.0,18615.249999999996,18961.749999999996,Bahrain International Airport,Bahrain,Bahrain,BAH,26.27079963684082,50.63359832763672
913,2999.0,320.5,320.5,Bhuj Airport,Bhuj,India,BHJ,23.2877998352,69.6701965332
914,3002.0,773.0,1088.0,Raja Bhoj International Airport,Bhopal,India,BHO,23.2875003815,77.33740234380001
915,3003.0,252.0,252.0,Bhavnagar Airport,Bhaunagar,India,BHU,21.752199173,72.18520355220001
916,3137.0,6629.5,6440.5,Calicut International Airport,Calicut,India,CCJ,11.1367998123,75.95529937740001
917,3024.0,22525.333333333332,22663.833333333332,Bandaranaike International Colombo Airport,Colombo,Sri Lanka,CMB,7.180759906768799,79.88410186767578
918,3092.0,531.6666666666666,531.6666666666666,Dehradun Airport,Dehra Dun,India,DED,30.189698999999997,78.180298
919,5711.0,148.0,148.0,Diu Airport,Diu,India,DIU,20.71310043334961,70.92109680175781
920,2064.0,17105.458333333336,17094.958333333336,King Fahd International Airport,Dammam,Saudi Arabia,DMM,26.471200942993164,49.79790115356445
921,3494.0,46390.69047619048,46284.97380952381,Newark Liberty International Airport,Newark,United States,EWR,40.69250106811523,-74.168701171875
922,6741.0,148.0,148.0,Gorakhpur Airport,Gorakhpur,India,GOP,26.739700317399997,83.44969940189999
923,3143.0,2457.5,2589.0,Mangalore International Airport,Mangalore,India,IXE,12.961299896199998,74.89009857180001
924,3104.0,774.0,774.0,Leh Kushok Bakula Rimpochee Airport,Leh,India,IXL,34.135898590100005,77.5465011597
925,3142.0,798.0,798.0,Madurai Airport,Madurai,India,IXM,9.83450984955,78.09339904790002
926,3055.0,560.0,560.0,Silchar Airport,Silchar,India,IXS,24.912900924699997,92.97869873049999
927,2996.0,756.5,756.5,Aurangabad Airport,Aurangabad,India,IXU,19.862699508666992,75.39810180664062
928,3146.0,1688.0,1688.0,Vir Savarkar International Airport,Port Blair,India,IXZ,11.641200065612793,92.72969818115234
929,3097.0,774.0,774.0,Jodhpur Airport,Jodhpur,India,JDH,26.25110054016113,73.04889678955078
930,2176.0,24290.083333333332,23875.583333333332,Kuwait International Airport,Kuwait,Kuwait,KWI,29.226600646972656,47.96889877319336
931,3018.0,148.0,148.0,Porbandar Airport,Porbandar,India,PBD,21.6487007141,69.65720367429999
932,3019.0,376.0,376.0,Rajkot Airport,Rajkot,India,RAJ,22.3092002869,70.77950286869998
933,3148.0,198.0,198.0,Rajahmundry Airport,Rajahmundry,India,RJA,17.1103992462,81.81819915770001
934,2082.0,32003.616666666665,32725.324999999997,King Khaled International Airport,Riyadh,Saudi Arabia,RUH,24.957599639892575,46.69879913330078
935,3152.0,1315.0,1315.0,Tiruchirapally Civil Airport Airport,Tiruchirappalli,India,TRZ,10.765399932861328,78.70970153808594
936,3023.0,761.0,761.0,Maharana Pratap Airport,Udaipur,India,UDR,24.617700576799997,73.89610290530001
937,193.0,50641.37857142857,50330.700000000004,Lester B. Pearson International Airport,Toronto,Canada,YYZ,43.6772003174,-79.63059997559999
938,1450.0,448.0,448.0,Chios Island National Airport,Chios,Greece,JKH,38.34320068359375,26.14060020446777
939,1480.0,228.0,228.0,Sitia Airport,Sitia,Greece,JSH,35.21609878540039,26.101299285888672
940,1456.0,1259.0,1259.0,Kalamata Airport,Kalamata,Greece,KLX,37.06829833984375,22.02549934387207
941,1476.0,1096.0,1096.0,Samos Airport,Samos,Greece,SMI,37.68999862670898,26.911699295043945
942,1459.0,340.0,490.0,Karpathos Airport,Karpathos,Greece,AOK,35.4213981628418,27.145999908447266
943,1446.0,270.6666666666667,270.6666666666667,Dimokritos Airport,Alexandroupolis,Greece,AXD,40.855899810791016,25.956300735473636
944,1474.0,7635.0,8024.0,Chania International Airport,Chania,Greece,CHQ,35.531700134277344,24.149700164794922
945,1455.0,655.0,655.0,Kefallinia Airport,Keffallinia,Greece,EFL,38.12009811401367,20.5004997253418
946,2944.0,3031.0,3031.0,Kiev Zhuliany International Airport,Kiev,Ukraine,IEV,50.40194,30.451940000000004
947,1451.0,140.0,140.0,Ioannina Airport,Ioannina,Greece,IOA,39.6963996887207,20.82250022888184
948,4191.0,140.0,140.0,Ikaria Airport,Ikaria,Greece,JIK,37.6827011108,26.3470993042
949,4192.0,300.0,300.0,Kalymnos Airport,Kalymnos,Greece,JKL,36.963298797600004,26.9405994415
950,4194.0,100.0,100.0,Naxos Airport,Cyclades Islands,Greece,JNX,37.0811004639,25.3680992126
951,1475.0,140.0,140.0,Skiathos Island National Airport,Skiathos,Greece,JSI,39.177101135253906,23.503700256347656
952,5787.0,100.0,100.0,Syros Airport,Syros Island,Greece,JSY,37.422798156700004,24.950899124099998
953,4190.0,200.0,200.0,Astypalaia Airport,Astypalaia,Greece,JTY,36.5798988342,26.3757991791
954,1454.0,266.0,266.0,Kithira Airport,Kithira,Greece,KIT,36.2742996216,23.0170001984
955,1461.0,200.0,200.0,Kasos Airport,Kasos,Greece,KSJ,35.4213981628,26.909999847399998
956,4196.0,100.0,100.0,Kastelorizo Airport,Kastelorizo,Greece,KZS,36.1417007446,29.5764007568
957,1464.0,300.0,300.0,Leros Airport,Leros,Greece,LRS,37.184898,26.800301
958,1465.0,140.0,140.0,Limnos Airport,Limnos,Greece,LXS,39.917098999000004,25.236299514799995
959,1469.0,985.0,985.0,Mytilene International Airport,Mytilini,Greece,MJT,39.0567016602,26.5983009338
960,4193.0,100.0,100.0,Milos Airport,Milos,Greece,MLO,36.696899,24.4769
961,1353.0,19963.249999999996,18900.75,Marseille Provence Airport,Marseille,France,MRS,43.439271921999996,5.22142410278
962,1418.0,11152.666666666668,11002.666666666668,Nantes Atlantique Airport,Nantes,France,NTE,47.15319824220001,-1.61073005199
963,4195.0,100.0,100.0,Paros National Airport,Paros,Greece,PAS,37.020495000000004,25.113195
964,3752.0,39770.09047619048,39694.65714285714,Philadelphia International Airport,Philadelphia,United States,PHL,39.87189865112305,-75.24109649658203
965,1482.0,140.0,140.0,Skiros Airport,Skiros,Greece,SKU,38.967601776100004,24.4871997833
966,1194.0,8388.633333333333,8369.633333333333,Sofia Airport,Sofia,Bulgaria,SOF,42.696693420410156,23.411436080932614
967,1190.0,4833.833333333333,4829.5,Tirana International Airport Mother Teresa,Tirana,Albania,TIA,41.4146995544,19.7206001282
968,1488.0,2100.0,2478.0,"Zakynthos International Airport ""Dionysios Solomos""",Zakynthos,Greece,ZTH,37.7509,20.8843
969,2772.0,48.0,48.0,Yacuiba Airport,Yacuiba,Bolivia,BYC,-21.960899353027344,-63.65169906616211
970,2759.0,873.0,1025.0,Jorge Wilsterman International Airport,Cochabamba,Bolivia,CBB,-17.421100616455078,-66.17710113525389
971,2761.0,140.0,268.0,Capitán Aníbal Arab Airport,Cobija,Bolivia,CIJ,-11.0403995514,-68.78299713130001
972,6056.0,12.0,12.0,Capitán de Av. Emilio Beltrán Airport,Guayaramerín,Bolivia,GYA,-10.820599556,-65.34559631350001
973,2762.0,2643.0,2515.0,El Alto International Airport,La Paz,Bolivia,LPB,-16.513299942016598,-68.19229888916016
